text,sql
"Вывести имя, фамилию и штат проживания всех клиентов из сегмента ""Mass Customer"", у которых оценка имущества меньше 5000.","SELECT first_name, last_name, state FROM customer WHERE wealth_segment = 'Mass Customer' AND property_valuation < 5000;"
"Найти все уникальные бренды продуктов, которые присутствуют в таблице товаров.",SELECT DISTINCT brand FROM product;
"Вывести название бренда, класс продукта и цену всех товаров, розничная цена которых превышает 100 долларов.","SELECT brand, product_class, list_price FROM product WHERE list_price > 100;"
"Найти все заказы, сделанные онлайн (""online_order = true"").","SELECT order_id, customer_id, order_date, order_status FROM orders WHERE online_order = TRUE LIMIT 1000; "
"Вывести ID заказа, ID продукта и количество для всех позиций в заказах, где количество товара больше 5 штук, а цена продажи единицы товара менее 200 долларов.","SELECT order_id, product_id, quantity FROM order_items WHERE quantity > 5 AND item_list_price_at_sale < 200;"
"Для каждого клиента, у которого есть хотя бы один заказ, вывести ID клиента и даты всех его заказов.","SELECT o.customer_id, o.order_date FROM orders o ORDER BY o.customer_id, o.order_date LIMIT 1000; "
"Найти названия брендов и цены всех продуктов бренда ""Giant Bicycles"".","SELECT brand, list_price FROM product WHERE brand = 'Giant Bicycles';"
"Найти клиентов, которые делали заказы, но никогда не покупали продукты класса ""Road Bikes"".","SELECT DISTINCT c.customer_id, c.first_name, c.last_name FROM customer c JOIN orders o ON c.customer_id = o.customer_id WHERE NOT EXISTS ( SELECT 1 FROM orders o2 JOIN order_items oi2 ON o2.order_id = oi2.order_id JOIN product p2 ON oi2.product_id = p2.product_id WHERE o2.customer_id = c.customer_id AND p2.product_class = 'Road Bikes' );"
"Найти имена и фамилии клиентов, проживающих в штате NSW, у которых есть автомобиль (""owns_car = 'Yes').","SELECT first_name, last_name FROM customer WHERE state = 'NSW' AND owns_car = 'Yes';"
"Найти бренд и линейку продукта (""product_line""), имеющие самую высокую розничную цену в каталоге.","SELECT brand, product_line, list_price FROM product ORDER BY list_price DESC LIMIT 1;"
"Вычислить среднюю сумму чека по всем утвержденным (""Approved"") заказам. Сумма чека равна сумме произведений количества на цену продажи по всем позициям заказа.","SELECT AVG(order_total) AS avg_check_amount FROM ( SELECT o.order_id, SUM(oi.quantity * oi.item_list_price_at_sale) AS order_total FROM orders o JOIN order_items oi ON o.order_id = oi.order_id WHERE o.order_status = 'Approved' GROUP BY o.order_id ) AS order_totals;"
"Найти среднюю стоимость единицы товара в заказах, сделанных клиентами из сегмента ""Affluent Customer"".",SELECT AVG(oi.item_list_price_at_sale) AS avg_item_price FROM customer c JOIN orders o ON c.customer_id = o.customer_id JOIN order_items oi ON o.order_id = oi.order_id WHERE c.wealth_segment = 'Affluent Customer';
Вычислить среднюю общую сумму покупок для клиентов из штата Victoria (VIC).,"SELECT AVG(customer_total) AS avg_customer_spend FROM ( SELECT c.customer_id, SUM(oi.quantity * oi.item_list_price_at_sale) AS customer_total FROM customer c JOIN orders o ON c.customer_id = o.customer_id JOIN order_items oi ON o.order_id = oi.order_id WHERE c.state = 'VIC' AND o.order_status = 'Approved' -- Обычно считают только успешные заказы GROUP BY c.customer_id ) AS customer_totals;"
"Найти имена и фамилии клиентов, чья общая сумма покупок (сумма всех их утвержденных заказов) превышает 1000 долларов.","SELECT c.first_name, c.last_name FROM customer c JOIN orders o ON c.customer_id = o.customer_id JOIN order_items oi ON o.order_id = oi.order_id WHERE o.order_status = 'Approved' GROUP BY c.customer_id, c.first_name, c.last_name HAVING SUM(oi.quantity * oi.item_list_price_at_sale) > 1000;"
"Найти розничные цены (""list_price""), которые встречаются у двух и более разных продуктов.",SELECT list_price FROM product GROUP BY list_price HAVING COUNT(product_id) >= 2;
"Найти пары разных продуктов, которые имеют одинаковую розничную цену и одинаковый класс продукта. Вывести: ID первого продукта, ID второго продукта, цена, класс. Каждая пара выводится только один раз (где ID первого < ID второго).","SELECT p1.product_id AS product_id_1, p2.product_id AS product_id_2, p1.list_price, p1.product_class FROM product p1 JOIN product p2 ON p1.list_price = p2.list_price AND p1.product_class = p2.product_class AND p1.product_id < p2.product_id;"
"Найти продукты, розничная цена которых ниже минимальной розничной цены среди всех продуктов бренда ""Haro"".",SELECT * FROM product WHERE list_price < ( SELECT MIN(list_price) FROM product WHERE brand = 'Haro' );
"Найти бренды самых дешевых продуктов в каждой категории (""product_class""). Вывести: категория, бренд, минимальная цена.","SELECT product_class, brand, min_price FROM ( SELECT product_class, brand, list_price AS min_price, ROW_NUMBER() OVER (PARTITION BY product_class ORDER BY list_price ASC) as rn FROM product ) sub WHERE rn = 1;"
Для каждого бренда вычислить среднюю розничную цену выпускаемых им товаров.,"SELECT brand, AVG(list_price) AS avg_price FROM product GROUP BY brand;"
"Найти бренды, которые выпускают по меньшей мере три различные линейки продуктов (""product_line"").",SELECT brand FROM product GROUP BY brand HAVING COUNT(DISTINCT product_line) >= 3;
Найти максимальную сумму одного утвержденного заказа для каждого клиента.,"SELECT o.customer_id, MAX(order_total) AS max_order_sum FROM ( SELECT order_id, customer_id, SUM(quantity * item_list_price_at_sale) AS order_total FROM orders o JOIN order_items oi ON o.order_id = oi.order_id WHERE o.order_status = 'Approved' GROUP BY o.order_id, o.customer_id ) AS sub GROUP BY o.customer_id;"
"Для каждого значения количества товаров в позиции заказа (""quantity""), превышающего 5, определить среднюю цену единицы этого товара.","SELECT quantity, AVG(item_list_price_at_sale) AS avg_price FROM order_items WHERE quantity > 5 GROUP BY quantity;"
"Найти бренды, которые производят товары с розничной ценой выше 500 долларов И при этом имеют товары с розничной ценой ниже 50 долларов.",SELECT brand FROM product GROUP BY brand HAVING MAX(list_price) > 500 AND MIN(list_price) < 50;
"Перечислить ID продуктов, имеющих самую высокую розничную цену по всему каталогу.",SELECT product_id FROM product WHERE list_price = (SELECT MAX(list_price) FROM product);
"Найти бренды продуктов, которые входили в состав самого дорогого по общей сумме утвержденного заказа и самого дешевого по общей сумме утвержденного заказа.","WITH order_totals AS ( SELECT o.order_id, SUM(oi.quantity * oi.item_list_price_at_sale) AS total_sum FROM orders o JOIN order_items oi ON o.order_id = oi.order_id WHERE o.order_status = 'Approved' GROUP BY o.order_id ), extremes AS ( SELECT (SELECT order_id FROM order_totals ORDER BY total_sum DESC LIMIT 1) AS max_order_id, (SELECT order_id FROM order_totals ORDER BY total_sum ASC LIMIT 1) AS min_order_id ) SELECT DISTINCT p.brand FROM extremes e JOIN order_items oi ON oi.order_id IN (e.max_order_id, e.min_order_id) JOIN product p ON oi.product_id = p.product_id;"
"Найти среднюю цену продажи и среднее количество штук в одной позиции заказа для продуктов бренда ""Electra"".","SELECT AVG(oi.item_list_price_at_sale) AS avg_sale_price, AVG(oi.quantity) AS avg_quantity FROM order_items oi JOIN product p ON oi.product_id = p.product_id WHERE p.brand = 'Electra';"
"Найти средний размер оценки имущества (""property_valuation"") клиентов каждого штата, которые когда-либо делали хотя бы один заказ.","SELECT c.state, AVG(c.property_valuation) AS avg_property_valuation FROM customer c WHERE EXISTS ( SELECT 1 FROM orders o WHERE o.customer_id = c.customer_id ) GROUP BY c.state;"
"Определить количество брендов, выпускающих только одну линейку продуктов (""product_line"").",SELECT COUNT(*) FROM ( SELECT brand FROM product GROUP BY brand HAVING COUNT(DISTINCT product_line) = 1 ) AS sub;
"Для каждого клиента вывести дату его первого и последнего утвержденного заказа. Если заказов не было, вывести NULL.","SELECT c.customer_id, MIN(o.order_date) AS first_order_date, MAX(o.order_date) AS last_order_date FROM customer c LEFT JOIN orders o ON c.customer_id = o.customer_id AND o.order_status = 'Approved' GROUP BY c.customer_id;"
Для каждого штата клиента и каждой даты заказа посчитать суммарное количество проданных товаров и общую выручку за этот день.,"SELECT c.state, o.order_date, SUM(oi.quantity) AS total_quantity, SUM(oi.quantity * oi.item_list_price_at_sale) AS total_revenue FROM orders o JOIN customer c ON o.customer_id = c.customer_id JOIN order_items oi ON o.order_id = oi.order_id WHERE o.order_status = 'Approved' GROUP BY c.state, o.order_date;"
"Для клиентов из сегмента ""High Net Worth"" вывести их профессию и страну проживания.","SELECT job_title, country FROM customer WHERE wealth_segment = 'High Net Worth';"
"С точностью до 2 знаков определить среднюю цену продажи (""item_list_price_at_sale"") для каждого класса продукта (""product_class"").","SELECT p.product_class, ROUND(AVG(oi.item_list_price_at_sale), 2) AS avg_sale_price FROM order_items oi JOIN product p ON oi.product_id = p.product_id GROUP BY p.product_class;"
"Указать ID заказов, в которых были куплены товары бренда ""Strider"" и которые были сделаны в 2017 году.",SELECT DISTINCT o.order_id FROM orders o JOIN order_items oi ON o.order_id = oi.order_id JOIN product p ON oi.product_id = p.product_id WHERE p.brand = 'Strider' AND EXTRACT(YEAR FROM o.order_date) = 2017;
"Указать имена и фамилии клиентов, которые потратили на покупки более 5000 долларов, но при этом сделали менее 3 утвержденных заказов.","SELECT c.first_name, c.last_name FROM customer c JOIN orders o ON c.customer_id = o.customer_id JOIN order_items oi ON o.order_id = oi.order_id WHERE o.order_status = 'Approved' GROUP BY c.customer_id, c.first_name, c.last_name HAVING SUM(oi.quantity * oi.item_list_price_at_sale) > 5000 AND COUNT(DISTINCT o.order_id) < 3;"
"В таблице ""product"" найти продукты, название бренда которых состоит только из букв, а название линейки содержит хотя бы одну цифру.",SELECT * FROM product WHERE brand ~ '^[A-Za-z]+$' AND product_line ~ '[0-9]';
"Перечислить имена клиентов, которые имеют наименьший ""customer_id"" в своем штате.","SELECT first_name, last_name FROM ( SELECT first_name, last_name, state, ROW_NUMBER() OVER (PARTITION BY state ORDER BY customer_id ASC) as rn FROM customer ) AS sub WHERE rn = 1;"
"Найти штаты, в которых зарегистрирован ровно один клиент.",SELECT state FROM customer GROUP BY state HAVING COUNT(*) = 1;
"Найти штаты, из которых есть клиенты как мужского пола ('Male'), так и женского ('Female').","SELECT state FROM customer WHERE gender IN ('Male', 'Female') GROUP BY state HAVING COUNT(DISTINCT gender) = 2;"
"Найти клиентов, которые сначала сделали заказ со статусом 'Cancelled', а позже (по дате) сделали заказ со статусом 'Approved'.",SELECT DISTINCT c.customer_id FROM customer c JOIN orders o1 ON c.customer_id = o1.customer_id JOIN orders o2 ON c.customer_id = o2.customer_id WHERE o1.order_status = 'Cancelled' AND o2.order_status = 'Approved' AND o1.order_date < o2.order_date;
"Найти бренды, которые выпускают более одной линейки продуктов, при этом все их продукты относятся к одному и тому же классу (""product_class"").",SELECT brand FROM product GROUP BY brand HAVING COUNT(DISTINCT product_line) > 1 AND COUNT(DISTINCT product_class) = 1;
Для каждого бренда определить максимальную розничную цену на его продукцию.,"SELECT brand, MAX(list_price) AS max_price FROM product GROUP BY brand;"
"Найти ID заказов, даты заказов и имена клиентов, если общая сумма утвержденного заказа превысила 1000 долларов.","SELECT o.order_id, o.order_date, c.first_name, c.last_name FROM orders o JOIN customer c ON o.customer_id = c.customer_id JOIN order_items oi ON o.order_id = oi.order_id WHERE o.order_status = 'Approved' GROUP BY o.order_id, o.order_date, c.first_name, c.last_name HAVING SUM(oi.quantity * oi.item_list_price_at_sale) > 1000;"
"Указать дни недели (например, Monday, Tuesday), в которые не было сделано ни одного онлайн-заказа.","SELECT DISTINCT TO_CHAR(order_date, 'FMDay') AS day_of_week FROM orders WHERE TO_CHAR(order_date, 'FMDay') NOT IN ( SELECT DISTINCT TO_CHAR(order_date, 'FMDay') FROM orders WHERE online_order = TRUE );"
"Найти имена всех клиентов, начинающиеся с буквы 'A'.",SELECT first_name FROM customer WHERE first_name LIKE 'A%';
"Найти названия профессий (""job_title"") клиентов, состоящие из трех и более слов.","SELECT job_title FROM customer WHERE job_title IS NOT NULL AND LENGTH(job_title) - LENGTH(REPLACE(job_title, ' ', '')) >= 2;"
"Для каждого утвержденного заказа, сделанного клиентом из штата 'NSW', вывести ID заказа, общую сумму заказа и имя клиента.","SELECT o.order_id, SUM(oi.quantity * oi.item_list_price_at_sale) AS total_sum, c.first_name, c.last_name FROM orders o JOIN customer c ON o.customer_id = c.customer_id JOIN order_items oi ON o.order_id = oi.order_id WHERE o.order_status = 'Approved' AND c.state = 'NSW' GROUP BY o.order_id, c.first_name, c.last_name;"
"Определить штаты, клиенты которых никогда не делали заказов.",SELECT state FROM customer WHERE customer_id NOT IN (SELECT DISTINCT customer_id FROM orders);
"Найти классы продуктов (""product_class""), хотя бы один товар из которых был продан в количестве более 10 штук в одной позиции утвержденного заказа.",SELECT DISTINCT p.product_class FROM order_items oi JOIN product p ON oi.product_id = p.product_id JOIN orders o ON oi.order_id = o.order_id WHERE o.order_status = 'Approved' AND oi.quantity > 10;
"Найти названия брендов продуктов, розничная цена которых равна ровно 100 долларам.",SELECT DISTINCT brand FROM product WHERE list_price = 100;
"Найти даты утвержденных заказов, в которых участвовали товары бренда 'Trek'.",SELECT DISTINCT o.order_date FROM orders o JOIN order_items oi ON o.order_id = oi.order_id JOIN product p ON oi.product_id = p.product_id WHERE o.order_status = 'Approved' AND p.brand = 'Trek';
"Найти бренды продуктов, у которых самая высокая розничная цена среди всех продуктов с такой же себестоимостью (""standard_cost"").",SELECT DISTINCT p1.brand FROM product p1 WHERE p1.list_price = ( SELECT MAX(p2.list_price) FROM product p2 WHERE p2.standard_cost = p1.standard_cost );
"Определить названия брендов и классы продуктов, которые можно считать ""премиальными"" (цена выше 1000 долларов), при этом их себестоимость составляет менее 50% от розничной цены.","SELECT brand, product_class FROM product WHERE list_price > 1000 AND standard_cost < (list_price * 0.5);"
"Определить среднее количество товаров в одной позиции утвержденного заказа для всех заказов, сделанных клиентами из сегмента ""High Net Worth"".",SELECT AVG(oi.quantity) AS avg_quantity FROM order_items oi JOIN orders o ON oi.order_id = o.order_id JOIN customer c ON o.customer_id = c.customer_id WHERE o.order_status = 'Approved' AND c.wealth_segment = 'High Net Worth';
"С точностью до 2-х десятичных знаков определить среднюю общую сумму чека для всех онлайн-заказов (""online_order = True"").","SELECT ROUND(AVG(order_total), 2) AS avg_check FROM ( SELECT o.order_id, SUM(oi.quantity * oi.item_list_price_at_sale) AS order_total FROM orders o JOIN order_items oi ON o.order_id = oi.order_id WHERE o.online_order = TRUE AND o.order_status = 'Approved' GROUP BY o.order_id ) AS sub;"
"Для каждого бренда продукта определить год, когда был сделан первый утвержденный заказ на продукт этого бренда.","SELECT p.brand, EXTRACT(YEAR FROM MIN(o.order_date)) AS first_year FROM product p JOIN order_items oi ON p.product_id = oi.product_id JOIN orders o ON oi.order_id = o.order_id WHERE o.order_status = 'Approved' GROUP BY p.brand;"
"Для каждого штата (""state"") определить число клиентов, которые никогда не делали заказов.","SELECT c.state, COUNT(*) AS non_buying_customers FROM customer c LEFT JOIN orders o ON c.customer_id = o.customer_id WHERE o.order_id IS NULL GROUP BY c.state;"
"Для штатов, в которых есть клиенты с оценкой имущества более 10000 и которые сделали хотя бы один заказ, вывести имя штата и общее количество их утвержденных заказов.","SELECT c.state, COUNT(o.order_id) AS total_approved_orders FROM customer c JOIN orders o ON c.customer_id = o.customer_id WHERE c.property_valuation > 10000 AND o.order_status = 'Approved' GROUP BY c.state;"
"Для каждой отрасли деятельности (""job_industry_category"") и каждого сегмента благосостояния (""wealth_segment"") найти процентное отношение числа клиентов этого сегмента к общему числу клиентов в этой отрасли.","WITH industry_totals AS ( SELECT job_industry_category, wealth_segment, COUNT(*) AS segment_count, SUM(COUNT(*)) OVER (PARTITION BY job_industry_category) AS industry_total FROM customer GROUP BY job_industry_category, wealth_segment ) SELECT job_industry_category, wealth_segment, ROUND((segment_count::DECIMAL / industry_total) * 100, 2) AS percentage FROM industry_totals;"
"Посчитать ""баланс лояльности"" для каждого клиента: сумма покупок минус количество отмененных заказов (каждый отмененный заказ считается как -1).","SELECT c.customer_id, COALESCE(SUM(oi.quantity * oi.item_list_price_at_sale), 0) - COALESCE(SUM(CASE WHEN o.order_status = 'Cancelled' THEN 1 ELSE 0 END), 0) AS loyalty_balance FROM customer c LEFT JOIN orders o ON c.customer_id = o.customer_id LEFT JOIN order_items oi ON o.order_id = oi.order_id GROUP BY c.customer_id;"
"Посчитать баланс средств на ""счете лояльности"" для каждого клиента на начало 2018 года, если баллы начисляются за каждый утвержденный заказ в 2017 году (1 доллар суммы заказа = 1 балл).","SELECT c.customer_id, COALESCE(SUM(oi.quantity * oi.item_list_price_at_sale), 0) AS loyalty_balance_2017 FROM customer c JOIN orders o ON c.customer_id = o.customer_id JOIN order_items oi ON o.order_id = oi.order_id WHERE o.order_status = 'Approved' AND o.order_date >= '2017-01-01' AND o.order_date < '2018-01-01' GROUP BY c.customer_id;"
Посчитать общую выручку от всех утвержденных заказов.,SELECT SUM(oi.quantity * oi.item_list_price_at_sale) AS total_revenue FROM orders o JOIN order_items oi ON o.order_id = oi.order_id WHERE o.order_status = 'Approved';
"Посчитать общую выручку от утвержденных заказов, сделанных клиентами из штата NSW.",SELECT SUM(oi.quantity * oi.item_list_price_at_sale) AS total_revenue_nsw FROM orders o JOIN customer c ON o.customer_id = c.customer_id JOIN order_items oi ON o.order_id = oi.order_id WHERE o.order_status = 'Approved' AND c.state = 'NSW';
"Определить имена клиентов, которые покупали один и тот же продукт (""product_id"") более одного раза в разные даты.","SELECT DISTINCT c.first_name, c.last_name FROM customer c JOIN orders o ON c.customer_id = o.customer_id JOIN order_items oi ON o.order_id = oi.order_id WHERE o.order_status = 'Approved' GROUP BY c.customer_id, c.first_name, c.last_name, oi.product_id HAVING COUNT(DISTINCT o.order_date) > 1;"
"Для каждого клиента и каждой даты его утвержденного заказа определить, покупал ли он в этот день товары класса ""Road Bikes"" или нет. Вывод: customer_id, дата, флаг наличия Road Bikes.","SELECT o.customer_id, o.order_date, BOOL_OR(p.product_class = 'Road Bikes') AS bought_road_bikes FROM orders o JOIN order_items oi ON o.order_id = oi.order_id JOIN product p ON oi.product_id = p.product_id WHERE o.order_status = 'Approved' GROUP BY o.customer_id, o.order_date;"
"Пронумеровать уникальные пары {brand, product_class} из таблицы ""product"", упорядочив их по возрастанию бренда, а затем по алфавиту класса.","SELECT brand, product_class, ROW_NUMBER() OVER (ORDER BY brand ASC, product_class ASC) AS row_num FROM (SELECT DISTINCT brand, product_class FROM product) AS sub;"
Для всех дней в интервале с 01/01/2017 по 07/01/2017 определить число утвержденных заказов от клиентов из штата VIC.,"SELECT o.order_date, COUNT(*) AS order_count FROM orders o JOIN customer c ON o.customer_id = c.customer_id WHERE o.order_status = 'Approved' AND c.state = 'VIC' AND o.order_date BETWEEN '2017-01-01' AND '2017-07-01' GROUP BY o.order_date ORDER BY o.order_date;"
"Найти пары (customer_id, product_id), которые встречаются в утвержденных заказах наибольшее число раз.","SELECT customer_id, product_id, count_purchases FROM ( SELECT o.customer_id, oi.product_id, COUNT(*) AS count_purchases, RANK() OVER (ORDER BY COUNT(*) DESC) as rnk FROM orders o JOIN order_items oi ON o.order_id = oi.order_id WHERE o.order_status = 'Approved' GROUP BY o.customer_id, oi.product_id ) AS sub WHERE rnk = 1;"
"Найти количество уникальных пар ""Штат клиента -> Класс продукта"", которые обслуживаются наибольшим числом позиций в утвержденных заказах.","SELECT COUNT(*) FROM ( SELECT state_product_pair, cnt, RANK() OVER (ORDER BY cnt DESC) as rnk FROM ( SELECT c.state || ' -> ' || p.product_class AS state_product_pair, COUNT(*) AS cnt FROM orders o JOIN customer c ON o.customer_id = c.customer_id JOIN order_items oi ON o.order_id = oi.order_id JOIN product p ON oi.product_id = p.product_id WHERE o.order_status = 'Approved' GROUP BY c.state, p.product_class ) AS inner_sub ) AS ranked_sub WHERE rnk = 1;"
"По таблицам ""orders"" и ""order_items"" для каждого клиента найти накопительную сумму покупок на конец каждого дня, в который он совершал утвержденные покупки.","SELECT o.customer_id, o.order_date, SUM(SUM(oi.quantity * oi.item_list_price_at_sale)) OVER ( PARTITION BY o.customer_id ORDER BY o.order_date ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW ) AS running_total FROM orders o JOIN order_items oi ON o.order_id = oi.order_id WHERE o.order_status = 'Approved' GROUP BY o.customer_id, o.order_date ORDER BY o.customer_id, o.order_date;"
"Указать даты утвержденных заказов, в которых участвовали продукты от трех и более разных брендов.","SELECT DISTINCT o.order_date FROM orders o JOIN order_items oi ON o.order_id = oi.order_id JOIN product p ON oi.product_id = p.product_id WHERE o.order_status = 'Approved' GROUP BY o.order_id, o.order_date HAVING COUNT(DISTINCT p.brand) >= 3;"
"Найти бренды, все продукты которых имеют розничную цену выше средней розничной цены по всему каталогу.",SELECT brand FROM product GROUP BY brand HAVING MIN(list_price) > (SELECT AVG(list_price) FROM product);
"Среди клиентов, которые покупают товары только одного бренда, определить имена тех, кто сделал наибольшее количество утвержденных заказов.","WITH single_brand_customers AS ( SELECT o.customer_id FROM orders o JOIN order_items oi ON o.order_id = oi.order_id JOIN product p ON oi.product_id = p.product_id WHERE o.order_status = 'Approved' GROUP BY o.customer_id HAVING COUNT(DISTINCT p.brand) = 1 ) SELECT c.first_name, c.last_name, COUNT(o.order_id) AS order_count FROM customer c JOIN orders o ON c.customer_id = o.customer_id WHERE c.customer_id IN (SELECT customer_id FROM single_brand_customers) AND o.order_status = 'Approved' GROUP BY c.customer_id, c.first_name, c.last_name ORDER BY order_count DESC LIMIT 1;"
"Для каждого бренда продукта определить даты утвержденных заказов, в которых НЕ участвовали товары этого бренда.","SELECT DISTINCT b.brand, all_dates.order_date FROM (SELECT DISTINCT brand FROM product) b CROSS JOIN (SELECT DISTINCT order_date FROM orders WHERE order_status = 'Approved') all_dates EXCEPT SELECT p.brand, o.order_date FROM orders o JOIN order_items oi ON o.order_id = oi.order_id JOIN product p ON oi.product_id = p.product_id WHERE o.order_status = 'Approved';"
"Вывести все классы продуктов (""product_class"") для бренда ""Giant Bicycles"".",SELECT DISTINCT product_class FROM product WHERE brand = 'Giant Bicycles';
"Для тех брендов, у которых есть продукты, найти максимальные розничные цены для каждого класса продукции (""product_class"").","SELECT brand, product_class, MAX(list_price) AS max_price FROM product GROUP BY brand, product_class;"
"Определить разницу в днях между первым и последним утвержденным заказом для клиентов, которые всегда покупали товары разной розничной цены в каждом заказе.","WITH valid_customers AS ( SELECT o.customer_id FROM orders o JOIN order_items oi ON o.order_id = oi.order_id WHERE o.order_status = 'Approved' GROUP BY o.order_id, o.customer_id HAVING COUNT(oi.item_list_price_at_sale) = COUNT(DISTINCT oi.item_list_price_at_sale) ) SELECT vc.customer_id, MAX(o.order_date) - MIN(o.order_date) AS days_diff FROM valid_customers vc JOIN orders o ON vc.customer_id = o.customer_id WHERE o.order_status = 'Approved' GROUP BY vc.customer_id;"
"Определить дни, когда было выполнено максимальное число утвержденных заказов клиентами из штата NSW.","SELECT order_date, order_count FROM ( SELECT o.order_date, COUNT(*) AS order_count, RANK() OVER (ORDER BY COUNT(*) DESC) as rnk FROM orders o JOIN customer c ON o.customer_id = c.customer_id WHERE o.order_status = 'Approved' AND c.state = 'NSW' GROUP BY o.order_date ) AS sub WHERE rnk = 1;"
"Для каждого заказа определить первый и последний день месяца, в котором он был сделан.","SELECT order_id, DATE_TRUNC('month', order_date) AS first_day_of_month, (DATE_TRUNC('month', order_date) + INTERVAL '1 month - 1 day')::date AS last_day_of_month FROM orders;"
"Определить клиентов, которые потратили больше всего денег на утвержденные покупки за все время.","SELECT c.customer_id, c.first_name, c.last_name, SUM(oi.quantity * oi.item_list_price_at_sale) AS total_spent FROM customer c JOIN orders o ON c.customer_id = o.customer_id JOIN order_items oi ON o.order_id = oi.order_id WHERE o.order_status = 'Approved' GROUP BY c.customer_id, c.first_name, c.last_name ORDER BY total_spent DESC LIMIT 1;"
"Найти бренды, все продукты которых хоть раз продавались (присутствуют в таблице ""order_items"").",SELECT p.brand FROM product p WHERE p.product_id IN (SELECT DISTINCT product_id FROM order_items) GROUP BY p.brand HAVING COUNT(p.product_id) = ( SELECT COUNT(*) FROM product p2 WHERE p2.brand = p.brand AND p2.product_id IN (SELECT DISTINCT product_id FROM order_items) );
"Из таблицы ""order_items"" получить все записи за тот месяц и год, в котором суммарное количество проданных товаров (""quantity"") было максимальным.","WITH monthly_totals AS ( SELECT DATE_TRUNC('month', o.order_date) AS month_year, SUM(oi.quantity) AS total_qty FROM orders o JOIN order_items oi ON o.order_id = oi.order_id WHERE o.order_status = 'Approved' GROUP BY DATE_TRUNC('month', o.order_date) ), max_month AS ( SELECT month_year FROM monthly_totals ORDER BY total_qty DESC LIMIT 1 ) SELECT oi.* FROM order_items oi JOIN orders o ON oi.order_id = o.order_id WHERE o.order_status = 'Approved' AND DATE_TRUNC('month', o.order_date) = (SELECT month_year FROM max_month);"
